,accession,duf_number
786,PF10077,DUF2314
787,PF10078,DUF2316
788,PF10088,DUF2326
789,PF10096,DUF2334
790,PF10102,DUF2341
791,PF10105,DUF2344
792,PF10106,DUF2345
793,PF10177,DUF2371
794,PF10184,DUF2358
795,PF10295,DUF2406
796,PF10334,DUF2421
797,PF10335,DUF294
798,PF10348,DUF2427
799,PF10360,DUF2433
800,PF10361,DUF2434
801,PF10386,DUF2441
802,PF10387,DUF2442
803,PF10445,DUF2456
804,PF10446,DUF2457
805,PF10454,DUF2458
806,PF10616,DUF2471
807,PF10617,DUF2474
808,PF10649,DUF2478
809,PF10652,DUF2480
810,PF10654,DUF2481
811,PF10655,DUF2482
812,PF10656,DUF2483
813,PF10658,DUF2484
814,PF10667,DUF2486
815,PF10708,DUF2510
816,PF10728,DUF2520
817,PF09347,DUF1989
818,PF09348,DUF1990
819,PF09353,DUF1995
820,PF09366,DUF1997
821,PF09390,DUF1999
822,PF09391,DUF2000
823,PF09400,DUF2002
824,PF09537,DUF2383
825,PF09557,DUF2382
826,PF09667,DUF2028
827,PF09755,DUF2046
828,PF09838,DUF2065
829,PF09840,DUF2067
830,PF09843,DUF2070
831,PF09853,DUF2080
832,PF09858,DUF2085
833,PF09865,DUF2092
834,PF09870,DUF2097
835,PF09871,DUF2098
836,PF09888,DUF2115
837,PF09889,DUF2116
838,PF09891,DUF2118
839,PF09892,DUF2119
840,PF09903,DUF2130
841,PF09906,DUF2135
842,PF09917,DUF2147
843,PF09918,DUF2148
844,PF09923,DUF2155
845,PF09926,DUF2158
846,PF09938,DUF2170
847,PF09946,DUF2178
848,PF09962,DUF2196
849,PF09963,DUF2197
850,PF09964,DUF2198
851,PF09968,DUF2202
852,PF09987,DUF2226
853,PF09988,DUF2227
854,PF09990,DUF2231
855,PF10003,DUF2244
856,PF10007,DUF2250
857,PF10020,DUF2262
858,PF10030,DUF2272
859,PF10035,DUF2179
860,PF10042,DUF2278
861,PF10050,DUF2284
862,PF10063,DUF2301
863,PF10065,DUF2303
864,PF10066,DUF2304
865,PF10092,DUF2330
866,PF10098,DUF2336
867,PF10101,DUF2339
868,PF10217,DUF2039
869,PF10313,DUF2415
870,PF10329,DUF2417
871,PF10338,DUF2423
872,PF10350,DUF2428
873,PF10398,DUF2443
874,PF10504,DUF2452
875,PF10611,DUF2469
876,PF10615,DUF2470
877,PF10670,DUF4198
878,PF10673,DUF2487
879,PF10675,DUF2489
880,PF10677,DUF2490
881,PF10679,DUF2491
882,PF10689,DUF2496
883,PF10691,DUF2497
884,PF10692,DUF2498
885,PF10694,DUF2500
886,PF10696,DUF2501
887,PF10697,DUF2502
888,PF10698,DUF2505
889,PF10702,DUF2507
890,PF10704,DUF2508
891,PF10710,DUF2512
892,PF10711,DUF2513
893,PF10713,DUF2509
894,PF10720,DUF2515
895,PF10721,DUF2514
896,PF10724,DUF2516
897,PF10734,DUF2523
898,PF10735,DUF2526
899,PF10736,DUF2627
900,PF10739,DUF2550
901,PF10740,DUF2529
902,PF10742,DUF2555
903,PF10745,DUF2530
904,PF10749,DUF2534
905,PF10750,DUF2536
906,PF10751,DUF2535
907,PF10752,DUF2533
908,PF10754,DUF2569
909,PF10755,DUF2585
910,PF10762,DUF2583
911,PF10763,DUF2584
912,PF10769,DUF2594
913,PF10774,DUF4226
914,PF10782,DUF2602
915,PF10783,DUF2599
916,PF10790,DUF2604
917,PF10792,DUF2605
